id_temporada,nombre,categoria,año_inicio,año_fin
1,Temporada 2024/2025,Prebenjamín A,2024,2025
2,Temporada 2024/2025,Prebenjamín B,2024,2025
3,Temporada 2024/2025,Benjamín A,2024,2025
4,Temporada 2024/2025,Benjamín B,2024,2025
5,Temporada 2024/2025,Alevín A,2024,2025
6,Temporada 2024/2025,Alevín B,2024,2025
7,Temporada 2024/2025,Infantil A,2024,2025
8,Temporada 2024/2025,Infantil B,2024,2025
9,Temporada 2024/2025,Cadete A,2024,2025
10,Temporada 2024/2025,Cadete B,2024,2025
11,Temporada 2024/2025,Juvenil A,2024,2025
12,Temporada 2024/2025,Juvenil B,2024,2025
13,Temporada 2024/2025,Juvenil C,2024,2025
14,Temporada 2024/2025,Juvenil D,2024,2025
15,Temporada 2024/2025,Primer Equipo,2024,2025
16,Temporada 2024/2025,Reserva / Equipo B,2024,2025
17,Temporada 2025/2026,Prebenjamín A,2025,2026
18,Temporada 2025/2026,Prebenjamín B,2025,2026
19,Temporada 2025/2026,Benjamín A,2025,2026
20,Temporada 2025/2026,Benjamín B,2025,2026
21,Temporada 2025/2026,Alevín A,2025,2026
22,Temporada 2025/2026,Alevín B,2025,2026
23,Temporada 2025/2026,Infantil A,2025,2026
24,Temporada 2025/2026,Infantil B,2025,2026
25,Temporada 2025/2026,Cadete A,2025,2026
26,Temporada 2025/2026,Cadete B,2025,2026
27,Temporada 2025/2026,Juvenil A,2025,2026
28,Temporada 2025/2026,Juvenil B,2025,2026
29,Temporada 2025/2026,Juvenil C,2025,2026
30,Temporada 2025/2026,Juvenil D,2025,2026
31,Temporada 2025/2026,Primer Equipo,2025,2026
32,Temporada 2025/2026,Reserva / Equipo B,2025,2026
33,Temporada 2026/2027,Prebenjamín A,2026,2027
34,Temporada 2026/2027,Prebenjamín B,2026,2027
35,Temporada 2026/2027,Benjamín A,2026,2027
36,Temporada 2026/2027,Benjamín B,2026,2027
37,Temporada 2026/2027,Alevín A,2026,2027
38,Temporada 2026/2027,Alevín B,2026,2027
39,Temporada 2026/2027,Infantil A,2026,2027
40,Temporada 2026/2027,Infantil B,2026,2027
41,Temporada 2026/2027,Cadete A,2026,2027
42,Temporada 2026/2027,Cadete B,2026,2027
43,Temporada 2026/2027,Juvenil A,2026,2027
44,Temporada 2026/2027,Juvenil B,2026,2027
45,Temporada 2026/2027,Juvenil C,2026,2027
46,Temporada 2026/2027,Juvenil D,2026,2027
47,Temporada 2026/2027,Primer Equipo,2026,2027
48,Temporada 2026/2027,Reserva / Equipo B,2026,2027
49,Temporada 2027/2028,Prebenjamín A,2027,2028
50,Temporada 2027/2028,Prebenjamín B,2027,2028
51,Temporada 2027/2028,Benjamín A,2027,2028
52,Temporada 2027/2028,Benjamín B,2027,2028
53,Temporada 2027/2028,Alevín A,2027,2028
54,Temporada 2027/2028,Alevín B,2027,2028
55,Temporada 2027/2028,Infantil A,2027,2028
56,Temporada 2027/2028,Infantil B,2027,2028
57,Temporada 2027/2028,Cadete A,2027,2028
58,Temporada 2027/2028,Cadete B,2027,2028
59,Temporada 2027/2028,Juvenil A,2027,2028
60,Temporada 2027/2028,Juvenil B,2027,2028
61,Temporada 2027/2028,Juvenil C,2027,2028
62,Temporada 2027/2028,Juvenil D,2027,2028
63,Temporada 2027/2028,Primer Equipo,2027,2028
64,Temporada 2027/2028,Reserva / Equipo B,2027,2028
65,Temporada 2028/2029,Prebenjamín A,2028,2029
66,Temporada 2028/2029,Prebenjamín B,2028,2029
67,Temporada 2028/2029,Benjamín A,2028,2029
68,Temporada 2028/2029,Benjamín B,2028,2029
69,Temporada 2028/2029,Alevín A,2028,2029
70,Temporada 2028/2029,Alevín B,2028,2029
71,Temporada 2028/2029,Infantil A,2028,2029
72,Temporada 2028/2029,Infantil B,2028,2029
73,Temporada 2028/2029,Cadete A,2028,2029
74,Temporada 2028/2029,Cadete B,2028,2029
75,Temporada 2028/2029,Juvenil A,2028,2029
76,Temporada 2028/2029,Juvenil B,2028,2029
77,Temporada 2028/2029,Juvenil C,2028,2029
78,Temporada 2028/2029,Juvenil D,2028,2029
79,Temporada 2028/2029,Primer Equipo,2028,2029
80,Temporada 2028/2029,Reserva / Equipo B,2028,2029
